division,district,cases,location
Dhaka,Dhaka City,8,Chankharpool 
Dhaka,Dhaka City,31,Chawk Bazar 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,6,Demra 
Dhaka,Dhaka City,26,Dhanmondi 
Dhaka,Dhaka City,2,Dholaikhal 
Dhaka,Dhaka City,2,Doyaganj 
Dhaka,Dhaka City,2,Elephant Road 
Dhaka,Dhaka City,8,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,1,Fakirapool 
Dhaka,Dhaka City,2,Farmgate 
Dhaka,Dhaka City,21,Gendaria 
Dhaka,Dhaka City,1,Golartek 
Dhaka,Dhaka City,3,Goran 
Dhaka,Dhaka City,2,Gonoktuli 
Dhaka,Dhaka City,6,Gopibag 
Dhaka,Dhaka City,10,Green Road 
Dhaka,Dhaka City,4,Gulistan 
Dhaka,Dhaka City,19,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,18,Hazaribagh 
Dhaka,Dhaka City,2,Ibrahimpur 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,35,Jatrabari 
Dhaka,Dhaka City,5,Jigatala 
Dhaka,Dhaka City,9,Jurain 
Dhaka,Dhaka City,2,Kallyanpur 
Dhaka,Dhaka City,4,Kalabagan 
Dhaka,Dhaka City,2,Kakrail 
Dhaka,Dhaka City,1,Kathalbagan 
Dhaka,Dhaka City,1,Kamalapur 
Dhaka,Dhaka City,4,Kamrangir Char 
Dhaka,Dhaka City,6,Kazi para 
Dhaka,Dhaka City,3,Kawran Bazar 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,5,Khilgaon 
Dhaka,Dhaka City,1,Khilkhet 
Dhaka,Dhaka City,1,Koltabazar 
Dhaka,Dhaka City,2,Kodomtoli 
Dhaka,Dhaka City,7,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,35,Lalbagh 
Dhaka,Dhaka City,5,Laxmibazar 
Dhaka,Dhaka City,1,Madartek 
Dhaka,Dhaka City,1,Malitola 
Dhaka,Dhaka City,4,Malibagh 
Dhaka,Dhaka City,2,Maniknagar 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,3,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,11,Mirpur-1 
Dhaka,Dhaka City,1,Mirpur-2 
Dhaka,Dhaka City,4,Mirpur-6 
Dhaka,Dhaka City,8,Mirpur-10 
Dhaka,Dhaka City,16,Mirpur-11 
Dhaka,Dhaka City,12,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,21,Mirpur-14 
Dhaka,Dhaka City,28,Mitford 
Dhaka,Dhaka City,14,Mogbazar 
Dhaka,Dhaka City,17,Mohakhali 
Dhaka,Dhaka City,1,Mohonpur 
Dhaka,Dhaka City,44,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,8,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,2,Nazirabazar 
Dhaka,Dhaka City,4,Nawabganj 
Dhaka,Dhaka City,8,Narinda 
Dhaka,Dhaka City,1,Nilkhet 
Dhaka,Dhaka City,6,Nakhalpara 
Dhaka,Dhaka City,7,Nayabazar 
Dhaka,Dhaka City,4,Neemtoli 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pallabi 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Postogola 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,50,Rajarbagh 
Dhaka,Dhaka City,5,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Raja Bazar 
Dhaka,Dhaka City,2,Rayerbazar 
Dhaka,Dhaka City,4,Sabujbagh 
Dhaka,Dhaka City,3,Sadarghat 
Dhaka,Dhaka City,4,Sahjanpur 
Dhaka,Dhaka City,2,Sayedabad 
Dhaka,Dhaka City,1,Segunbagicha 
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,11,Shahbag 
Dhaka,Dhaka City,20,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,10,Shantinagar 
Dhaka,Dhaka City,7,Shaymoli 
Dhaka,Dhaka City,4,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,4,Siddheshwari 
Dhaka,Dhaka City,3,Sonir akhra 
Dhaka,Dhaka City,12,Sutrapur 
Dhaka,Dhaka City,2,TatiBazar 
Dhaka,Dhaka City,8,Tikatoli 
Dhaka,Dhaka City,23,Tejgaon 
Dhaka,Dhaka City,1,Turag 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,23,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,30,Wari 
Dhaka,Dhaka City,1229,Total
