division,district,cases,location
Dhaka,Dhaka City,3,Narinda 
Dhaka,Dhaka City,5,Nakhalpara 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,13,Rajarbagh 
Dhaka,Dhaka City,4,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Rayerbazar 
Dhaka,Dhaka City,2,Sabujbagh 
Dhaka,Dhaka City,1,Sadarghat 
Dhaka,Dhaka City,1,Sayedabad 
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,6,Shahbag 
Dhaka,Dhaka City,7,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,7,Shantinagar 
Dhaka,Dhaka City,4,Shaymoli 
Dhaka,Dhaka City,1,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,3,Siddheshwari 
Dhaka,Dhaka City,1,Sonir akhra 
Dhaka,Dhaka City,9,Sutrapur 
Dhaka,Dhaka City,16,Tejgaon 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,20,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,27,Wari 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
