division,district,cases,location
Dhaka,Dhaka City,1,Rayerbazar 
Dhaka,Dhaka City,2,Sabujbagh 
Dhaka,Dhaka City,1,Sadarghat 
Dhaka,Dhaka City,1,Sayedabad 
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,6,Shahbag 
Dhaka,Dhaka City,10,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,8,Shantinagar 
Dhaka,Dhaka City,7,Shaymoli 
Dhaka,Dhaka City,1,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,3,Siddheshwari 
Dhaka,Dhaka City,1,Sonir akhra 
Dhaka,Dhaka City,9,Sutrapur 
Dhaka,Dhaka City,16,Tejgaon 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,23,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,28,Wari 
Dhaka,Dhaka City,843,Total
,,,
